,max,min,val_of_30day,max_after_30day,target,length
1560,201.0,144.0,178.0,201.0,1.0,45.0
1561,1998.0,1254.0,1423.0,1998.0,1.40407589599,119.0
1562,3825.0,2480.0,2749.0,3825.0,1.0,96.0
1563,980.0,750.0,920.0,920.0,1.0,36.0
1564,1277.0,1101.0,1258.0,1264.0,1.0,44.0
1565,450.0,318.0,422.0,422.0,1.0,43.0
1566,118.0,99.0,108.0,113.0,1.0,42.0
1567,978.0,646.0,698.0,978.0,1.40114613181,116.0
1568,920.0,607.0,797.0,920.0,1.0,63.0
1569,2640.0,2393.0,2640.0,2640.0,1.0,43.0
1570,2909.0,2406.43,2909.0,2909.0,1.0,45.0
1571,492.0,410.0,471.0,471.0,1.0,34.0
1572,1621.0,1325.0,1554.0,1554.0,1.0,38.0
1573,6450.0,4625.0,5820.0,6450.0,1.10824742268,57.0
1574,1153.0,1030.0,1100.0,1106.0,1.0,36.0
1575,503.0,445.5,497.5,497.5,1.0,32.0
1576,2767.0,2455.0,2644.0,2720.0,1.0,41.0
1577,448.0,392.0,442.0,448.0,1.0,58.0
1578,4150.0,3660.0,3850.0,3880.0,1.0,35.0
1579,2185.0,1964.0,2147.0,2166.0,1.00884955752,44.0
1580,428.0,335.0,411.0,418.0,1.0,46.0
1581,606.0,530.0,594.0,606.0,1.0,53.0
1582,4584.5,3159.0,4476.0,4584.5,1.02424039321,56.0
1583,8222.0,7255.0,7974.0,8082.0,1.0,33.0
1584,1786.0,1442.0,1667.0,1745.0,1.0,44.0
1585,2262.0,2043.0,2153.0,2262.0,1.05062703205,44.0
1586,721.2,636.6,673.4,714.4,1.06088506089,38.0
1587,180.0,140.0,155.0,180.0,1.16129032258,92.0
1588,1334.0,1200.0,1234.0,1234.0,1.0,32.0
1589,272.0,242.0,264.0,272.0,1.0303030303,46.0
1590,1628.0,1538.0,1612.0,1612.0,1.0,35.0
1591,2300.0,1984.0,2148.0,2163.0,1.0,35.0
1592,961.0,845.0,961.0,961.0,1.0,50.0
1593,549.0,410.0,439.0,549.0,1.25056947608,85.0
1594,949.0,823.0,847.0,949.0,1.12042502952,77.0
1595,24430.0,14585.0,16895.0,24430.0,1.44598993785,115.0
1596,1561.0,1304.0,1411.0,1561.0,1.10630758327,41.0
1597,521.0,466.0,506.0,521.0,1.02964426877,45.0
1598,1288.0,1010.0,1145.0,1288.0,1.0,70.0
1599,6297.0,5366.0,5691.0,6297.0,1.0,47.0
1600,1140.0,764.0,1042.0,1062.0,1.0,49.0
1601,335.0,320.0,327.0,330.0,1.00917431193,37.0
1602,8273.0,5650.0,6667.0,8273.0,1.2408879556,120.0
1603,4220.0,3660.0,3985.0,4220.0,1.05897114178,49.0
1604,4195.0,2115.0,2590.0,4195.0,1.61969111969,113.0
1605,486.0,385.0,452.0,486.0,1.0,47.0
1606,1505.0,1306.0,1397.0,1456.0,1.0,41.0
1607,1267.0,1050.0,1152.0,1267.0,1.09982638889,67.0
1608,338.0,256.0,307.0,314.0,1.0,45.0
1609,5980.0,4205.0,5150.0,5250.0,1.0,38.0
1610,408.0,344.0,386.0,386.0,1.0,46.0
1611,3026.0,2679.0,2881.0,3026.0,1.05032974662,51.0
1612,1492.0,1201.0,1326.0,1492.0,1.12518853695,72.0
1613,1338.0,1052.0,1246.0,1338.0,1.0,50.0
1614,1567.0,1369.0,1516.0,1516.0,1.0,37.0
1615,1507.5,1260.0,1442.5,1507.5,1.04506065858,60.0
1616,3540.0,2240.0,2850.0,3540.0,1.24210526316,99.0
1617,1305.0,560.0,765.0,1305.0,1.0,127.0
1618,1790.0,1325.0,1790.0,1790.0,1.0,46.0
1619,8360.0,7914.0,7930.0,7930.0,1.0,31.0
1620,5030.0,3820.0,4655.0,5030.0,1.0,52.0
1621,1061.67,848.33,906.67,1061.67,1.17095525384,113.0
1622,3000.0,2170.0,2760.0,2820.0,1.02173913043,45.0
1623,996.0,907.0,907.0,907.0,1.0,31.0
1624,1568.5,1435.5,1557.0,1557.0,1.0,41.0
1625,1070.0,960.7,1014.5,1052.0,1.03696402169,37.0
1626,3875.0,3145.0,3760.0,3835.0,1.01994680851,51.0
1627,742.0,689.0,718.0,742.0,1.0,39.0
1628,17690.0,16600.0,17160.0,17160.0,1.0,32.0
1629,1555.0,1420.0,1479.0,1479.0,1.0,32.0
1630,1749.0,1576.0,1673.0,1749.0,1.04542737597,49.0
1631,569.0,489.0,554.0,569.0,1.0,55.0
1632,3125.0,2615.0,2725.0,2725.0,1.0,32.0
1633,2055.0,1690.0,1974.0,1974.0,1.0,42.0
1634,2350.0,2015.0,2235.0,2235.0,1.0,34.0
1635,445.0,321.0,422.0,422.0,1.0,37.0
1636,261.0,237.0,254.0,259.0,1.01968503937,43.0
1637,3590.0,3080.0,3350.0,3350.0,1.0,32.0
1638,1909.5,1615.0,1748.0,1909.5,1.09239130435,107.0
1639,850.0,730.0,845.0,845.0,1.0,38.0
1640,2143.0,1865.0,2079.0,2143.0,1.03078403078,50.0
